"","USP33","USP39","FBXO22","DDIT4"
"TCGA-HZ-8315-01A-11R-2404-07",35.3659,32.2733,8.3083,133.8982
"TCGA-3A-A9IX-01A-11R-A41B-07",26.8299,31.7334,5.4765,61.6742
"TCGA-S4-A8RP-01A-11R-A36G-07",30.9511,34.6834,10.3516,171.3793
"TCGA-2J-AAB9-01A-11R-A41B-07",18.8708,35.158,5.4921,169.1912
"TCGA-F2-7276-01A-11R-2156-07",34.8883,41.8856,6.907,106.2515
"TCGA-RL-AAAS-01A-32R-A39D-07",18.7001,35.1654,4.6299,121.0016
"TCGA-PZ-A5RE-01A-11R-A32O-07",20.7588,37.1959,5.9342,116.428
"TCGA-IB-7651-01A-11R-2156-07",29.4177,50.3576,10.6846,122.7632
"TCGA-F2-6880-01A-11R-2156-07",5.574,7.6157,2.3932,37.1807
"TCGA-LB-A9Q5-01A-11R-A39D-07",11.5489,17.9729,4.052,98.1179
"TCGA-IB-A7M4-01A-11R-A36G-07",19.3107,49.7678,4.8079,198.0152
"TCGA-HZ-A49H-01A-11R-A26U-07",16.2337,27.0065,3.894,116.1497
"TCGA-3A-A9IJ-01A-11R-A39D-07",16.2993,21.746,3.7856,25.3089
"TCGA-XN-A8T5-01A-12R-A36G-07",24.0235,33.5127,5.4158,96.3847
"TCGA-US-A774-01A-21R-A32O-07",23.5538,32.3121,5.0947,82.4689
"TCGA-IB-7644-01A-11R-2156-07",39.3918,50.2398,7.1885,135.0381
"TCGA-US-A77G-01A-11R-A32O-07",31.4903,36.3866,8.178,256.9745
"TCGA-IB-7645-01A-22R-2204-07",29.705,41.1381,6.0537,88.8706
"TCGA-2L-AAQA-01A-21R-A38C-07",16.9336,43.7513,9.0101,374.5468
"TCGA-FB-AAPS-01A-12R-A39D-07",22.7437,31.0402,4.5117,145.3523
"TCGA-HZ-A49G-01A-11R-A26U-07",28.3353,32.4133,5.9572,145.7471
"TCGA-IB-A5SO-01A-11R-A32O-07",23.0339,33.1828,5.6066,418.7172
"TCGA-FB-AAQ1-01A-12R-A41B-07",18.0702,26.6946,4.5293,349.1443
"TCGA-IB-AAUN-01A-12R-A38C-07",18.4736,46.858,6.8972,270.7284
"TCGA-HZ-8317-01A-11R-2404-07",20.9941,23.7278,5.3522,201.4784
"TCGA-3E-AAAY-01A-11R-A38C-07",25.7446,29.3205,5.5127,186.4254
"TCGA-3A-A9IV-01A-11R-A41B-07",23.1358,31.2256,4.2594,165.9107
"TCGA-FB-A78T-01A-12R-A32O-07",23.3498,38.626,6.4272,184.9459
"TCGA-2J-AABE-01A-12R-A41B-07",25.1846,29.5996,5.4844,191.1647
"TCGA-HZ-A4BH-01A-11R-A26U-07",27.3862,41.7986,9.0601,306.3503
"TCGA-US-A77E-01A-11R-A32O-07",27.4178,38.0655,7.7656,329.38
"TCGA-IB-7652-01A-11R-2156-07",37.5804,33.5451,10.0599,249.5887
"TCGA-US-A776-01A-13R-A33R-07",27.7255,41.5165,6.579,20.12
"TCGA-US-A779-01A-11R-A32O-07",20.5771,31.3825,4.2078,181.4796
"TCGA-XD-AAUI-01A-42R-A41B-07",22.3865,43.9361,5.145,189.9728
"TCGA-F2-7273-01A-11R-2156-07",29.7528,37.6246,6.8504,201.5022
"TCGA-IB-A6UG-01A-32R-A33R-07",14.5038,24.4244,4.4215,261.2686
"TCGA-IB-AAUM-01A-11R-A37L-07",12.9345,16.2702,4.0729,73.105
"TCGA-S4-A8RO-01A-12R-A37L-07",15.091,30.6456,7.5992,469.9091
"TCGA-2J-AABK-01A-31R-A41B-07",22.7045,33.272,6.312,263.5041
"TCGA-3A-A9IU-01A-11R-A39D-07",25.4401,36.6804,7.4305,300.9764
"TCGA-HV-A5A5-01A-11R-A26U-07",21.142,27.9685,5.2836,154.5633
"TCGA-IB-7893-01A-11R-2204-07",34.1434,49.2406,7.357,148.2398
"TCGA-F2-A44G-01A-11R-A26U-07",26.0595,36.0445,8.5685,254.2633
"TCGA-2J-AABH-01A-21R-A41B-07",12.6875,34.5451,3.1876,262.3619
"TCGA-HZ-7918-01A-11R-2156-07",23.1765,39.5913,6.8605,35.8862
"TCGA-3A-A9IN-01A-11R-A39D-07",13.5799,16.8217,3.1727,61.0542
"TCGA-FB-AAPQ-01A-11R-A41B-07",13.7399,37.8586,5.906,318.0816
"TCGA-FB-A4P6-01A-12R-A26U-07",36.7427,38.7514,6.9429,274.7278
"TCGA-2J-AAB6-01A-11R-A41B-07",23.5356,35.9537,5.8524,300.716
"TCGA-FB-AAQ0-01A-31R-A41B-07",24.8828,35.7696,5.3491,216.6523
"TCGA-IB-AAUO-01A-12R-A38C-07",18.9943,41.27,11.8801,96.1469
"TCGA-FB-A4P5-01A-11R-A26U-07",24.3333,37.5373,5.0992,200.2117
"TCGA-IB-7654-01A-11R-2156-07",33.6303,31.1963,6.9905,76.4305
"TCGA-HZ-7919-01A-11R-2156-07",46.9576,48.5807,9.3195,144.2084
"TCGA-3A-A9IH-01A-12R-A39D-07",29.0758,36.6085,7.6808,664.6386
"TCGA-XN-A8T3-01A-11R-A36G-07",30.0034,42.3584,5.4651,358.4904
"TCGA-F2-A8YN-01A-11R-A37L-07",22.9721,37.2927,5.1783,102.6732
"TCGA-H8-A6C1-01A-11R-A32O-07",23.4058,30.6972,6.0148,61.3548
"TCGA-HZ-7924-01A-11R-2156-07",39.6359,40.2615,7.6156,90.6929
"TCGA-FB-AAPU-01A-31R-A41B-07",25.3233,43.6592,11.689,253.314
"TCGA-L1-A7W4-01A-12R-A36G-07",28.714,44.5996,6.1042,1175.66
"TCGA-IB-8127-01A-11R-2404-07",32.0221,57.1794,9.6049,143.7251
"TCGA-HV-A5A4-01A-11R-A26U-07",30.9664,34.7816,6.4266,356.2885
"TCGA-HZ-A49I-01A-12R-A26U-07",24.6957,30.0923,6.898,615.3547
"TCGA-XD-AAUL-01A-21R-A39D-07",27.822,44.5531,6.9175,167.7133
"TCGA-IB-AAUV-01A-11R-A38C-07",25.8434,36.4627,5.4813,157.2459
"TCGA-3E-AAAZ-01A-11R-A38C-07",21.9629,41.4007,6.9435,64.4644
"TCGA-HZ-A77O-01A-11R-A33R-07",12.7485,31.9983,5.5801,180.1366
"TCGA-HZ-8636-01A-21R-2404-07",38.9277,40.8007,8.8223,151.6853
"TCGA-3A-A9IO-01A-11R-A38C-07",28.5383,21.7805,6.2053,61.2297
"TCGA-2J-AABI-01A-12R-A41B-07",13.3775,54.9367,5.8683,1261.4177
"TCGA-3A-A9IL-01A-11R-A38C-07",16.9263,20.1471,6.5569,36.6
"TCGA-2J-AABT-01A-11R-A41B-07",25.0843,34.7416,4.2541,87.1653
"TCGA-IB-7647-01A-11R-2156-07",36.8442,66.7791,6.6761,152.3254
"TCGA-2J-AABU-01A-11R-A41B-07",31.3702,37.0563,8.3892,148.2427
"TCGA-HZ-A8P0-01A-11R-A36G-07",19.537,24.4629,5.3247,157.6133
"TCGA-Q3-AA2A-01A-11R-A37L-07",22.5711,32.0142,7.3069,243.2667
"TCGA-HZ-A4BK-01A-11R-A26U-07",30.1194,35.2509,5.2542,186.7772
"TCGA-YY-A8LH-01A-11R-A36G-07",16.6377,47.163,10.2412,492.5887
"TCGA-HV-A5A3-01A-11R-A26U-07",26.1822,45.6788,4.0393,233.2277
"TCGA-HZ-8519-01A-11R-2404-07",34.2611,36.2896,6.4826,141.738
"TCGA-HV-AA8V-01A-11R-A41B-07",23.7426,30.2559,5.1378,124.8518
"TCGA-IB-7897-01A-21R-2204-07",54.3406,45.8493,8.8179,82.6001
"TCGA-2J-AAB1-01A-11R-A41B-07",24.1225,40.4976,6.712,410.4586
"TCGA-IB-7889-01A-11R-2156-07",16.1121,36.302,5.5749,60.5893
"TCGA-HZ-8637-01A-11R-2404-07",33.672,38.2251,6.4838,68.5475
"TCGA-2L-AAQL-01A-11R-A38C-07",12.1046,31.7758,4.0063,204.9529
"TCGA-IB-7646-01A-11R-2156-07",27.2766,39.145,9.6083,148.3217
"TCGA-US-A77J-01A-11R-A32O-07",15.3795,32.4962,3.7801,161.3903
"TCGA-HZ-7926-01A-11R-2156-07",36.4067,44.9112,7.5859,408.3792
"TCGA-IB-AAUS-01A-12R-A38C-07",21.5848,35.4105,4.815,183.612
"TCGA-IB-A5ST-01A-11R-A32O-07",24.2679,41.3292,5.9538,170.5709
"TCGA-IB-A7LX-01A-12R-A36G-07",22.068,43.8682,9.2945,644.9593
"TCGA-HV-A7OP-01A-11R-A33R-07",3.5765,28.8405,2.0241,2.0557
"TCGA-IB-7887-01A-11R-2156-07",28.371,52.11,8.6054,122.1611
"TCGA-IB-AAUR-01A-21R-A38C-07",22.6321,37.225,5.3176,138.53
"TCGA-RB-AA9M-01A-11R-A39D-07",31.3092,46.4852,7.9163,368.3088
"TCGA-IB-A5SS-01A-11R-A32O-07",20.8537,47.6824,7.22,208.7528
"TCGA-HZ-8002-01A-11R-2204-07",43.9768,50.5811,8.9503,100.8711
"TCGA-YB-A89D-01A-12R-A36G-07",27.6346,41.5867,5.8828,415.967
"TCGA-2J-AAB8-01A-12R-A41B-07",28.8713,46.4076,9.0123,114.9067
"TCGA-2J-AABO-01A-21R-A41B-07",25.8363,43.6152,8.0654,135.3745
"TCGA-YH-A8SY-01A-11R-A37L-07",17.7387,34.191,4.7618,146.11
"TCGA-FB-A7DR-01A-21R-A33R-07",22.3852,45.309,6.5442,50.9554
"TCGA-HZ-A77Q-01A-11R-A36G-07",21.7695,36.9887,5.6623,228.1966
"TCGA-3A-A9IB-01A-21R-A39D-07",19.4538,39.3005,5.8292,625.1062
"TCGA-IB-AAUW-01A-12R-A38C-07",29.8115,32.7504,6.5418,158.4629
"TCGA-LB-A7SX-01A-11R-A33R-07",25.1696,30.9723,4.854,86.9938
"TCGA-2J-AABP-01A-11R-A41B-07",22.2065,32.981,6.3494,157.2587
"TCGA-3A-A9IS-01A-21R-A39D-07",35.4434,22.9412,5.8574,48.8905
"TCGA-FB-AAQ6-01A-11R-A41B-07",15.239,40.4088,8.7991,351.2358
"TCGA-2J-AAB4-01A-12R-A41B-07",28.5733,39.2403,7.9427,465.7248
"TCGA-HZ-A8P1-01A-11R-A37L-07",14.5356,40.7929,8.52,111.1325
"TCGA-2J-AABF-01A-31R-A41B-07",34.7071,39.3081,6.0848,140.4926
"TCGA-3A-A9IC-01A-11R-A38C-07",22.6864,39.3366,7.3821,153.4528
"TCGA-H6-8124-01A-11R-2404-07",36.863,38.5971,8.6305,372.7108
"TCGA-2J-AABV-01A-12R-A41B-07",2.9253,7.6792,1.2797,12.9876
"TCGA-3A-A9J0-01A-11R-A41B-07",18.59,42.7581,6.6965,216.1651
"TCGA-IB-7886-01A-11R-2156-07",35.4745,53.1059,8.7534,121.8421
"TCGA-OE-A75W-01A-12R-A32O-07",9.0951,33.9989,5.3384,220.9944
"TCGA-2J-AABA-01A-21R-A41B-07",31.0339,42.7855,10.7985,181.2853
"TCGA-F2-6879-01A-11R-2156-07",45.4571,48.3703,6.9608,129.3592
"TCGA-LB-A8F3-01A-11R-A36G-07",9.2601,25.2217,6.2079,80.4757
"TCGA-Q3-A5QY-01A-12R-A32O-07",19.345,29.0594,3.9011,143.4458
"TCGA-HZ-7920-01A-11R-2204-07",41.758,47.1146,8.1019,109.1781
"TCGA-FB-AAPP-01A-12R-A41B-07",23.5932,40.8645,5.8876,72.9177
"TCGA-F2-A44H-01A-11R-A26U-07",13.1318,24.1881,4.1177,114.6356
"TCGA-IB-AAUT-01A-11R-A37L-07",22.8478,31.0072,4.9621,274.6949
"TCGA-HZ-8005-01A-11R-2204-07",26.0958,56.6894,11.3111,318.13
"TCGA-S4-A8RM-01A-11R-A37L-07",20.4474,41.5308,14.2566,324.7346
"TCGA-HZ-7925-01A-11R-2156-07",28.258,50.1767,7.5817,251.9253
"TCGA-XD-AAUH-01A-42R-A41B-07",30.4831,37.0977,5.5581,94.176
"TCGA-FB-A5VM-01A-11R-A32O-07",11.566,50.5094,6.0685,126.9887
"TCGA-Z5-AAPL-01A-12R-A41B-07",33.717,49.2213,6.8696,142.0054
"TCGA-IB-7649-01A-11R-2156-07",26.0292,30.1927,4.5509,62.7361
"TCGA-2L-AAQI-01A-12R-A39D-07",21.9614,42.9736,7.7175,360.4391
"TCGA-IB-A5SP-01A-11R-A32O-07",21.1567,40.906,5.742,97.3639
"TCGA-IB-7888-01A-11R-2156-07",29.5648,30.9028,5.5,105.4699
"TCGA-IB-AAUQ-01A-22R-A41I-07",23.161,37.1048,6.175,856.9144
"TCGA-2J-AABR-01A-11R-A41B-07",28.0368,31.4433,5.9828,379.2197
"TCGA-IB-7891-01A-11R-2204-07",27.3326,32.8777,5.5233,61.8271
"TCGA-M8-A5N4-01A-11R-A26U-07",25.9949,31.4198,3.6111,166.7292
"TCGA-HV-AA8X-01A-11R-A39D-07",25.6097,34.477,6.2907,135.0334
"TCGA-3A-A9IR-01A-11R-A38C-07",56.8512,43.7297,8.8716,38.2147
"TCGA-HZ-8001-01A-11R-2204-07",16.4385,39.6702,5.7159,40.9169
"TCGA-HZ-8003-01A-21R-2204-07",17.9182,18.35,4.6977,51.3836
"TCGA-IB-A6UF-01A-23R-A33R-07",25.5472,40.1026,8.5218,751.2161
"TCGA-HZ-A9TJ-01A-11R-A41I-07",22.7703,34.8393,5.378,78.3732
"TCGA-FB-AAQ3-01A-11R-A41B-07",16.758,31.9889,6.1543,54.5003
"TCGA-F2-A7TX-01A-33R-A38C-07",27.5478,42.0288,11.1229,314.4219
"TCGA-IB-7885-01A-11R-2156-07",25.5547,37.6151,6.932,106.8779
"TCGA-H6-A45N-01A-11R-A26U-07",29.4834,38.6097,5.7551,511.8296
"TCGA-2L-AAQE-01A-11R-A39D-07",27.1423,59.1216,9.5295,252.314
"TCGA-IB-AAUP-01A-11R-A37L-07",25.1161,43.6542,6.668,238.3186
"TCGA-3A-A9I7-01A-21R-A38C-07",23.3519,33.56,5.6138,32.6231
"TCGA-FB-AAPY-01A-11R-A41B-07",16.3065,29.1447,4.1382,130.7654
"TCGA-2L-AAQM-01A-11R-A39D-07",15.6703,18.6013,2.4156,47.3664
"TCGA-HZ-7922-01A-11R-2156-07",36.71,45.3057,7.8579,112.2718
"TCGA-HZ-A77P-01A-11R-A33R-07",24.1701,37.057,5.3944,87.6044
"TCGA-FB-AAPZ-01A-11R-A41B-07",25.0976,43.6239,4.9262,205.0864
"TCGA-3A-A9I9-01A-11R-A38C-07",16.3428,23.4956,5.8418,79.2816
"TCGA-IB-AAUU-01A-11R-A37L-07",27.1055,48.8951,9.1023,420.8263
"TCGA-3A-A9IZ-01A-12R-A41B-07",26.3121,36.802,9.002,791.5211
"TCGA-FB-AAQ2-01A-31R-A41B-07",22.2643,51.8861,7.4975,191.1916
"TCGA-IB-8126-01A-11R-2404-07",14.4646,13.5966,3.987,57.8836
"TCGA-HV-A7OL-01A-11R-A33R-07",12.7156,31.0569,4.096,61.1765
"TCGA-HZ-7289-01A-11R-2156-07",12.3029,34.5271,3.6025,73.1107
"TCGA-2L-AAQJ-01A-12R-A39D-07",14.3521,33.4288,5.1785,154.8536
"TCGA-HZ-8638-01A-11R-2404-07",34.7213,33.0892,6.765,91.6839
"TCGA-IB-7890-01A-12R-2204-07",30.717,46.6179,6.1364,103.8717
"TCGA-HZ-7923-01A-12R-2156-07",34.9739,38.7196,6.4633,142.1389
"TCGA-3A-A9I5-01A-11R-A38C-07",10.7328,33.7174,6.7799,68.1863
"TCGA-IB-A5SQ-01A-11R-A32O-07",27.8997,39.688,8.2214,161.8868
"TCGA-XD-AAUG-01A-61R-A41B-07",26.2061,36.6211,5.3752,192.9884
"TCGA-FB-A545-01A-11R-A26U-07",27.5372,40.2659,4.7155,407.0697
"TCGA-RB-A7B8-01A-12R-A33R-07",17.3667,23.8485,6.9384,191.1337
"TCGA-HV-A5A6-01A-11R-A26U-07",28.0182,40.0047,4.5129,32.1226
